rank,name,postcode,address,rating,reviewCount,removedRange,removedMin,removedMax,removedEstimate,deletionRatioPct,realRatingAdjusted,removedText,url
14,goldies,76131,,4.3,542,51–100,51,100,75.5,12.23,3.897,51 bis 100 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/goldies/data=!4m7!3m6!1s0x479707f2bfa35fa5:0x3e55fb218c22beec!8m2!3d49.0088337!4d8.3972182!16s%2Fg%2F11xl9x2zxk!19sChIJpV-jv_IHl0cR7L4ijCH7VT4?authuser=0&hl=de&rclk=1
15,Wok on Fire,76131,,4.7,336,51–100,51,100,75.5,18.35,4.021,51 bis 100 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Wok+on+Fire/data=!4m7!3m6!1s0x479707006973e1c1:0xd37ae1186a0e34db!8m2!3d49.0097667!4d8.4029145!16s%2Fg%2F11xnmw4nz9!19sChIJweFzaQAHl0cR2zQOahjhetM?authuser=0&hl=de&rclk=1
16,Frischland Grill,76131,,4.4,325,51–100,51,100,75.5,18.85,3.759,51 bis 100 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Frischland+Grill/data=!4m7!3m6!1s0x479708900bdfd1a1:0x2a04ac22557bc1f4!8m2!3d49.0043872!4d8.4476227!16s%2Fg%2F11cm3rk3gd!19sChIJodHfC5AIl0cR9MF7VSKsBCo?authuser=0&hl=de&rclk=1
17,Pattyville,76131,,4.7,302,51–100,51,100,75.5,20,3.96,51 bis 100 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Pattyville/data=!4m7!3m6!1s0x47970781c4115977:0x7441225a314e0735!8m2!3d49.0087525!4d8.3935363!16s%2Fg%2F11x7cx5d0_!19sChIJd1kRxIEHl0cRNQdOMVoiQXQ?authuser=0&hl=de&rclk=1
18,Europa Arena Sportzentrum,76131,,4.7,273,51–100,51,100,75.5,21.66,3.898,51 bis 100 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Europa+Arena+Sportzentrum/data=!4m7!3m6!1s0x4797072420f4b9c1:0x7cbb3b8572a7bc95!8m2!3d49.0272767!4d8.3554526!16s%2Fg%2F1thkw6jp!19sChIJwbn0ICQHl0cRlbyncoU7u3w?authuser=0&hl=de&rclk=1
19,Space Hotel Karlsruhe,76131,,4.4,249,51–100,51,100,75.5,23.27,3.609,51 bis 100 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Space+Hotel+Karlsruhe/data=!4m10!3m9!1s0x479707497cfafaed:0x44b9ddfc9506e955!5m2!4m1!1i2!8m2!3d49.010286!4d8.3924324!16s%2Fg%2F11gnjhh230!19sChIJ7fr6fEkHl0cRVekGlfzduUQ?authuser=0&hl=de&rclk=1
20,DeliBurgers,76131,,4.6,3517,21–50,21,50,35.5,1,4.564,21 bis 50 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/DeliBurgers/data=!4m7!3m6!1s0x4797065044e318b7:0xf032ff7c671e3a01!8m2!3d49.0109296!4d8.3958628!16s%2Fg%2F11bxc3r0lx!19sChIJtxjjRFAGl0cRAToeZ3z_MvA?authuser=0&hl=de&rclk=1
21,AllDent Zahnzentrum Karlsruhe GmbH,76131,,4.9,741,21–50,21,50,35.5,4.57,4.722,21 bis 50 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/AllDent+Zahnzentrum+Karlsruhe+GmbH/data=!4m7!3m6!1s0x479707934b6f1237:0x71b31bab320cfe51!8m2!3d49.0104779!4d8.3948673!16s%2Fg%2F11vqgxzcqt!19sChIJNxJvS5MHl0cRUf4MMqsbs3E?authuser=0&hl=de&rclk=1
22,Zum Kleinen Ketterer,76131,,4.5,616,21–50,21,50,35.5,5.45,4.309,21 bis 50 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Zum+Kleinen+Ketterer/data=!4m7!3m6!1s0x47970647cfef3fd9:0x9aae5aeecfe77254!8m2!3d49.007577!4d8.407496!16s%2Fg%2F1tf06m4z!19sChIJ2T_vz0cGl0cRVHLnz-5arpo?authuser=0&hl=de&rclk=1
23,Restaurant Ege Rosa,76131,,4.7,611,21–50,21,50,35.5,5.49,4.497,21 bis 50 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Restaurant+Ege+Rosa/data=!4m7!3m6!1s0x47970726413218d3:0x37444a897064f3ff!8m2!3d49.0100485!4d8.387997!16s%2Fg%2F11bwm44dxt!19sChIJ0xgyQSYHl0cR__NkcIlKRDc?authuser=0&hl=de&rclk=1
24,Mama's Café • Restaurant,76131,,4.6,592,21–50,21,50,35.5,5.66,4.396,21 bis 50 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Mama%27s+Caf%C3%A9+%E2%80%A2+Restaurant/data=!4m7!3m6!1s0x47970782bbb5d9d9:0xd53784bd05d1c74f!8m2!3d49.0116983!4d8.3991769!16s%2Fg%2F11p5gny2yr!19sChIJ2dm1u4IHl0cRT8fRBb2EN9U?authuser=0&hl=de&rclk=1
25,Haarsympathie Friseursalon,76131,,4.8,488,21–50,21,50,35.5,6.78,4.542,21 bis 50 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Haarsympathie+Friseursalon/data=!4m7!3m6!1s0x479706485e1d1871:0x88af508f7140c526!8m2!3d49.0095804!4d8.4077825!16s%2Fg%2F11f_fxc3mp!19sChIJcRgdXkgGl0cRJsVAcY9Qr4g?authuser=0&hl=de&rclk=1
26,Kral Döner & Pizza Haus,76131,,4.8,469,21–50,21,50,35.5,7.04,4.533,21 bis 50 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Kral+D%C3%B6ner+%26+Pizza+Haus/data=!4m7!3m6!1s0x479706380f3d5def:0x125a43fa62eb3aa0!8m2!3d49.006775!4d8.4107569!16s%2Fg%2F11cmcrlk8d!19sChIJ7109DzgGl0cRoDrrYvpDWhI?authuser=0&hl=de&rclk=1
27,Portale 50 - Ristorante - Bar - Lounge,76131,,4.8,448,21–50,21,50,35.5,7.34,4.521,21 bis 50 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Portale+50+-+Ristorante+-+Bar+-+Lounge/data=!4m7!3m6!1s0x4797065a451249bd:0x421776589372160b!8m2!3d49.0073051!4d8.4027123!16s%2Fg%2F1tdvcjh5!19sChIJvUkSRVoGl0cRCxZyk1h2F0I?authuser=0&hl=de&rclk=1
28,Schloss Döner und Pizza Haus,76131,,4.6,435,21–50,21,50,35.5,7.55,4.328,21 bis 50 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Schloss+D%C3%B6ner+und+Pizza+Haus/data=!4m7!3m6!1s0x479708e433febbe1:0x1cd0c2ea52284a2!8m2!3d48.9991529!4d8.4748843!16s%2Fg%2F1td70yrm!19sChIJ4bv-M-QIl0cRooQipS4MzQE?authuser=0&hl=de&rclk=1
29,Haus des Döners Karlsruhe,76131,,4.4,405,21–50,21,50,35.5,8.06,4.126,21 bis 50 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Haus+des+D%C3%B6ners+Karlsruhe/data=!4m7!3m6!1s0x479707ab283b0295:0xa1d8f02c3175a4c2!8m2!3d49.0087266!4d8.3947361!16s%2Fg%2F11vkgfk153!19sChIJlQI7KKsHl0cRwqR1MSzw2KE?authuser=0&hl=de&rclk=1
30,Zentral-Apotheke,76131,,4.9,385,21–50,21,50,35.5,8.44,4.571,21 bis 50 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Zentral-Apotheke/data=!4m7!3m6!1s0x4797064fe6186b6d:0xfa66fae043ec7558!8m2!3d49.0100498!4d8.3978887!16s%2Fg%2F1tmbv1jz!19sChIJbWsY5k8Gl0cRWHXsQ-D6Zvo?authuser=0&hl=de&rclk=1
31,Topsy Turvy,76131,,4.5,346,21–50,21,50,35.5,9.31,4.174,21 bis 50 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Topsy+Turvy/data=!4m7!3m6!1s0x4797065a1f336265:0xac1e29f59c49e4ed!8m2!3d49.0082784!4d8.3915031!16s%2Fg%2F11btm9xqw1!19sChIJZWIzH1oGl0cR7eRJnPUpHqw?authuser=0&hl=de&rclk=1
32,Zahnarzt Karlsruhe - Dein Dental,76131,,4.5,310,21–50,21,50,35.5,10.27,4.14,21 bis 50 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Zahnarzt+Karlsruhe+-+Dein+Dental/data=!4m7!3m6!1s0x47970725d833401b:0xb6f4f374528b2219!8m2!3d49.0100211!4d8.4008729!16s%2Fg%2F11ts40vcxk!19sChIJG0Az2CUHl0cRGSKLUnTz9LY?authuser=0&hl=de&rclk=1
